text,count,percent,cumulative_count,cumulative_percent
the,5471,8.85834102427098,5471,8.85834102427098
of,3528,5.712342740564434,8999,14.570683764835412
in,1851,2.9970369650750475,10850,17.56772072991046
and,1841,2.9808455173977104,12691,20.548566247308173
a,1437,2.3267110312333026,14128,22.875277278541475
to,1226,1.9850714852414952,15354,24.86034876378297
wa,943,1.5268535159728631,16297,26.387202279755833
by,632,1.0232994932076875,16929,27.41050177296352
from,428,0.6929939605900164,17357,28.103495733553537
with,404,0.6541344861644081,17761,28.757630219717946
his,377,0.6104175774355985,18138,29.368047797153547
state,360,0.5828921163841259,18498,29.95093991353767
were,324,0.5246029047457132,18822,30.475542818283387
s,303,0.490600864623306,19125,30.96614368290669
it,287,0.464694548339567,19412,31.430838231246256
on,261,0.4225967843784913,19673,31.853435015624747
he,261,0.4225967843784913,19934,32.27603180000324
kingdom,245,0.39669046809475234,20179,32.67272226809799
for,239,0.38697559948835025,20418,33.059697867586344
at,211,0.3416395459918071,20629,33.40133741357815
that,206,0.3335438221531387,20835,33.73488123573129
category,194,0.3141140849403345,21029,34.04899532067162
kozhikode,188,0.3043992163339324,21217,34.353394537005556
also,185,0.29954178203073134,21402,34.652936319036286
sultan,184,0.2979226372629977,21586,34.95085895629928
king,174,0.28173118958566085,21760,35.23259014588495
which,172,0.2784929000501935,21932,35.51108304593514
this,169,0.27363546574699243,22101,35.78471851168213
had,158,0.2558248733019219,22259,36.040543384984055
who,157,0.2542057285341882,22416,36.294749113518236
an,156,0.2525865837664546,22572,36.547335697284694
after,154,0.2493482942309872,22726,36.796683991515685
under,149,0.2412525703923188,22875,37.037936561908005
but,148,0.2396334256245851,23023,37.27756998753258
is,137,0.22182283317951457,23160,37.4993928207121
son,133,0.21534625410857985,23293,37.71473907482068
territory,131,0.21210796457311248,23424,37.92684703939379
dutch,130,0.21048881980537879,23554,38.137335859199176
india,126,0.20401224073444407,23680,38.34134809993361
mataram,125,0.20239309596671037,23805,38.543741195900324
de,124,0.2007739511989767,23929,38.7445151470993
war,123,0.199154806431243,24052,38.943669953530545
during,123,0.199154806431243,24175,39.14282475996178
sultanate,122,0.19753566166350933,24297,39.3403604216253
their,119,0.1926782273603083,24416,39.53303864898561
empire,118,0.1910590825925746,24534,39.724097731578176
british,118,0.1910590825925746,24652,39.91515681417076
mysore,115,0.18620164828937355,24767,40.10135846246013
ruler,113,0.18296335875390618,24880,40.284321821214036
century,113,0.18296335875390618,24993,40.467285179967945
ii,110,0.17810592445070514,25103,40.64539110441864
history,110,0.17810592445070514,25213,40.82349702886935
or,108,0.17486763491523777,25321,40.998364663784585
not,106,0.1716293453797704,25427,41.169994009164355
i,105,0.17001020061203673,25532,41.340004209776396
khan,104,0.16839105584430303,25636,41.5083952656207
deli,103,0.16677191107656936,25739,41.67516717669727
city,102,0.16515276630883566,25841,41.84031994300611
they,98,0.15867618723790095,25939,41.998996130244
into,98,0.15867618723790095,26037,42.157672317481904
first,98,0.15867618723790095,26135,42.316348504719805
roman,97,0.15705704247016725,26232,42.47340554718998
title,96,0.15543789770243358,26328,42.628843444892404
between,93,0.15058046339923253,26421,42.77942390829164
became,92,0.14896131863149886,26513,42.92838522692314
duchy,89,0.1441038843282978,26602,43.072489111251436
time,88,0.1424847395605641,26690,43.214973850812
land,88,0.1424847395605641,26778,43.357458590372566
samoothiri,86,0.13924645002509675,26864,43.49670504039766
bhopal,86,0.13924645002509675,26950,43.635951490422755
part,83,0.1343890157218957,27033,43.770340506144656
known,83,0.1343890157218957,27116,43.90472952186655
canton,83,0.1343890157218957,27199,44.03911853758844
treaty,82,0.132769870954162,27281,44.17188840854261
family,82,0.132769870954162,27363,44.30465827949677
d,82,0.132769870954162,27445,44.43742815045093
when,81,0.1311507261864283,27526,44.56857887663736
power,78,0.1262932918832273,27604,44.69487216852059
over,78,0.1262932918832273,27682,44.82116546040382
year,77,0.1246741471154936,27759,44.945839607519304
