text,count,percent,cumulative_count,cumulative_percent
wa,943,2.4840630103788,943,2.4840630103788
state,360,0.948316737790422,1303,3.4323797481692218
kingdom,245,0.6453822243295927,1548,4.077761972498815
category,194,0.5110373531426163,1742,4.588799325641431
kozhikode,188,0.4952320741794426,1930,5.084031399820874
also,185,0.4873294346978557,2115,5.571360834518729
sultan,184,0.48469522153732675,2299,6.056056056056057
king,174,0.4583530899320373,2473,6.514409145988094
son,133,0.35035035035035034,2606,6.8647594963384435
territory,131,0.34508192402929244,2737,7.209841420367737
dutch,130,0.34244771086876347,2867,7.552289131236499
india,126,0.33191085822664773,2993,7.884199989463148
mataram,125,0.32927664506611876,3118,8.213476634529266
de,124,0.3266424319055898,3242,8.540119066434857
war,123,0.32400821874506086,3365,8.864127285179917
sultanate,122,0.3213740055845319,3487,9.18550129076445
empire,118,0.3108371529424161,3605,9.496338443706865
british,118,0.3108371529424161,3723,9.807175596649282
mysore,115,0.3029345134608292,3838,10.11011011011011
ruler,113,0.29766608713977133,3951,10.40777619724988
century,113,0.29766608713977133,4064,10.705442284389653
ii,110,0.28976344765818446,4174,10.995205732047838
history,110,0.28976344765818446,4284,11.284969179706021
khan,104,0.2739581686950108,4388,11.558927348401033
deli,103,0.27132395553448185,4491,11.830251303935514
city,102,0.2686897423739529,4593,12.098941046309468
first,98,0.2581528897318371,4691,12.357093936041306
roman,97,0.25551867657130817,4788,12.612612612612612
title,96,0.2528844634107792,4884,12.865497076023392
became,92,0.24234761076866337,4976,13.107844686792056
duchy,89,0.23444497128707656,5065,13.342289658079132
time,88,0.2318107581265476,5153,13.574100416205678
land,88,0.2318107581265476,5241,13.805911174332227
samoothiri,86,0.2265423318054897,5327,14.032453506137715
bhopal,86,0.2265423318054897,5413,14.258995837943205
part,83,0.21863969232390285,5496,14.477635530267111
known,83,0.21863969232390285,5579,14.696275222591012
canton,83,0.21863969232390285,5662,14.914914914914915
treaty,82,0.21600547916337387,5744,15.13092039407829
family,82,0.21600547916337387,5826,15.346925873241663
power,78,0.2054686265212581,5904,15.55239449976292
year,77,0.20283441336072916,5981,15.75522891312365
raja,77,0.20283441336072916,6058,15.958063326484378
force,77,0.20283441336072916,6135,16.160897739845108
prince,76,0.20020020020020018,6211,16.36109794004531
papal,76,0.20020020020020018,6287,16.56129814024551
east,76,0.20020020020020018,6363,16.76149834044571
called,75,0.19756598703967124,6438,16.95906432748538
region,74,0.1949317738791423,6512,17.15399610136452
later,74,0.1949317738791423,6586,17.348927875243664
dynasty,74,0.1949317738791423,6660,17.543859649122805
singh,73,0.19229756071861337,6733,17.736157209841423
emperor,73,0.19229756071861337,6806,17.928454770560034
one,72,0.1896633475580844,6878,18.11811811811812
two,71,0.18702913439755545,6949,18.305147252515674
holy,71,0.18702913439755545,7020,18.49217638691323
battle,71,0.18702913439755545,7091,18.679205521310784
b,68,0.1791264949159686,7159,18.858332016226754
since,66,0.1738580685949107,7225,19.03219008482166
however,66,0.1738580685949107,7291,19.206048153416575
rule,65,0.17122385543438173,7356,19.37727200885096
french,65,0.17122385543438173,7421,19.548495864285336
portuguese,63,0.16595542911332387,7484,19.714451293398664
voc,61,0.16068700279226594,7545,19.87513829619093
java,61,0.16068700279226594,7606,20.03582529898319
duke,61,0.16068700279226594,7667,20.19651230177546
chief,61,0.16068700279226594,7728,20.357199304567725
pope,59,0.15541857647120805,7787,20.512617881038935
period,59,0.15541857647120805,7846,20.66803645751014
palace,59,0.15541857647120805,7905,20.82345503398135
javanese,59,0.15541857647120805,7964,20.97887361045256
army,59,0.15541857647120805,8023,21.134292186923766
people,58,0.1527843633106791,8081,21.287076550234445
central,58,0.1527843633106791,8139,21.439860913545125
brother,58,0.1527843633106791,8197,21.592645276855805
member,57,0.15015015015015015,8254,21.742795427005955
made,57,0.15015015015015015,8311,21.8929455771561
control,57,0.15015015015015015,8368,22.04309572730625
iii,56,0.1475159369896212,8424,22.190611664295876
established,56,0.1475159369896212,8480,22.338127601285496
italy,55,0.14488172382909223,8535,22.48300932511459
capital,55,0.14488172382909223,8590,22.62789104894368
new,54,0.1422475106685633,8644,22.770138559612242
south,53,0.13961329750803436,8697,22.909751857120277
area,53,0.13961329750803436,8750,23.049365154628312
rebellion,52,0.1369790843475054,8802,23.186344238975817
led,52,0.1369790843475054,8854,23.323323323323322
court,52,0.1369790843475054,8906,23.46030240767083
political,51,0.13434487118697644,8957,23.594647278857806
died,51,0.13434487118697644,9008,23.728992150044782
government,50,0.13171065802644752,9058,23.86070280807123
ruled,49,0.12907644486591854,9107,23.989779252937147
royal,49,0.12907644486591854,9156,24.118855697803067
former,49,0.12907644486591854,9205,24.247932142668986
confederacy,49,0.12907644486591854,9254,24.377008587534903
amangkurat,49,0.12907644486591854,9303,24.506085032400822
would,48,0.1264422317053896,9351,24.632527264106212
tuanku,48,0.1264422317053896,9399,24.7589694958116
name,48,0.1264422317053896,9447,24.88541172751699
muhammad,47,0.12380801854486065,9494,25.009219746061852
modern,47,0.12380801854486065,9541,25.133027764606712
ali,46,0.12117380538433169,9587,25.254201569991043
muslim,45,0.11853959222380275,9632,25.372741162214847
crown,45,0.11853959222380275,9677,25.491280754438648
naples,44,0.1159053790632738,9721,25.607186133501926
began,44,0.1159053790632738,9765,25.723091512565198
throne,43,0.11327116590274484,9808,25.83636267846794
princely,43,0.11327116590274484,9851,25.949633844370684
may,43,0.11327116590274484,9894,26.06290501027343
kerala,43,0.11327116590274484,9937,26.176176176176174
trade,42,0.1106369527422159,9979,26.28681312891839
